"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"模拟创建操作：插入一条新记录，然后用 SQL 验证它是否真的存在","7","test_insert_and_verify","","Sat May 09 18:19:17 CST 2026","passed","Sat May 09 18:19:17 CST 2026","","test_db_verify","",""
"","1266","test_create_post[   \u524d\u540e\u5e26\u7a7a\u683c\u7684\u6807\u9898   -   \u524d\u540e\u5e26\u7a7a\u683c\u7684\u5185\u5bb9   -4]","","Sat May 09 18:19:08 CST 2026","passed","Sat May 09 18:19:09 CST 2026","","test_api_posts","",""
"","1329","test_delete_post","","Sat May 09 18:19:13 CST 2026","passed","Sat May 09 18:19:14 CST 2026","","test_api_posts","",""
"","1389","test_get_comments_fist_post","","Sat May 09 18:19:15 CST 2026","passed","Sat May 09 18:19:17 CST 2026","","test_api_posts","",""
"","1613","test_create_post[\u6807\u9898\u5e26\u7279\u6b8a\u5b57\u7b26-!@#$%-3]","","Sat May 09 18:19:06 CST 2026","passed","Sat May 09 18:19:08 CST 2026","","test_api_posts","",""
"验证初始数据至少有 2 条","2","test_initial_posts_count","","Sat May 09 18:19:17 CST 2026","passed","Sat May 09 18:19:17 CST 2026","","test_db_verify","",""
"","1360","test_update_post","","Sat May 09 18:19:09 CST 2026","passed","Sat May 09 18:19:10 CST 2026","","test_api_posts","",""
"模拟删除操作：删除一条记录，然后用 SQL 验证它是否真的消失","5","test_delete_and_verify","","Sat May 09 18:19:17 CST 2026","passed","Sat May 09 18:19:17 CST 2026","","test_db_verify","",""
"","2430","test_patch_post","","Sat May 09 18:19:10 CST 2026","passed","Sat May 09 18:19:13 CST 2026","","test_api_posts","",""
"","1647","test_create_post[\u6b63\u5e38\u4e2d\u6587\u6807\u9898-\u6b63\u5e38\u4e2d\u6587\u5185\u5bb9-1]","","Sat May 09 18:19:03 CST 2026","passed","Sat May 09 18:19:05 CST 2026","","test_api_posts","",""
"","1091","test_get_all_posts_status_code","","Sat May 09 18:19:02 CST 2026","passed","Sat May 09 18:19:03 CST 2026","","test_api_posts","",""
"","1155","test_create_post[English Title-English Body content-2]","","Sat May 09 18:19:05 CST 2026","passed","Sat May 09 18:19:06 CST 2026","","test_api_posts","",""
